id_produit,nom_produit,categorie,marque,prix_unitaire
P0001,Livre Python DigitalPro 1,Livres,DigitalPro,135.0
P0002,Livre Data SmartLine 2,Livres,SmartLine,235.31
P0003,Disque SSD Alpha 3,Informatique,Alpha,983.2
P0004,Vélo d'appartement Orion 4,Sport,Orion,572.88
P0005,T-shirt Alpha 5,Mode,Alpha,711.13
P0006,Mixeur CasaPro 6,Électroménager,CasaPro,1063.79
P0007,Parfum EcoPlus 7,Beauté,EcoPlus,1052.32
P0008,Livre Business DigitalPro 8,Livres,DigitalPro,170.6
P0009,Table AtlasTech 9,Maison,AtlasTech,276.48
P0010,Shampoing EcoPlus 10,Beauté,EcoPlus,222.5
P0011,Vélo d'appartement Orion 11,Sport,Orion,1214.97
P0012,Aspirateur Nova 12,Électroménager,Nova,10973.02
P0013,Parfum DigitalPro 13,Beauté,DigitalPro,946.19
P0014,T-shirt Zenith 14,Mode,Zenith,1560.46
P0015,Ballon AtlasTech 15,Sport,AtlasTech,418.74
P0016,Livre Data Orion 16,Livres,Orion,567.22
P0017,Coque EcoPlus 17,Téléphonie,EcoPlus,6368.13
P0018,Écran CasaPro 18,Informatique,CasaPro,7702.94
P0019,Smartphone SmartLine 19,Téléphonie,SmartLine,9012.06
P0020,Veste DigitalPro 20,Mode,DigitalPro,1947.24
P0021,Crème Nova 21,Beauté,Nova,275.42
P0022,Sac AtlasTech 22,Mode,AtlasTech,957.13
P0023,Tapis de sport EcoPlus 23,Sport,EcoPlus,2246.8
P0024,Coque Orion 24,Téléphonie,Orion,5115.13
P0025,Ballon DigitalPro 25,Sport,DigitalPro,1093.33
P0026,Tapis de sport CasaPro 26,Sport,CasaPro,1174.12
P0027,Haltères DigitalPro 27,Sport,DigitalPro,1507.48
P0028,Sèche-cheveux EcoPlus 28,Beauté,EcoPlus,1018.76
P0029,Shampoing Zenith 29,Beauté,Zenith,1127.34
P0030,Smartphone MaghrebStore 30,Téléphonie,MaghrebStore,1303.25
P0031,Disque SSD Alpha 31,Informatique,Alpha,1468.18
P0032,Coque DigitalPro 32,Téléphonie,DigitalPro,7079.49
P0033,Casque EcoPlus 33,Informatique,EcoPlus,10257.54
P0034,Chemise Orion 34,Mode,Orion,1401.39
P0035,Chargeur Orion 35,Téléphonie,Orion,11418.98
P0036,Vélo d'appartement Alpha 36,Sport,Alpha,2274.58
P0037,Parfum Nova 37,Beauté,Nova,945.17
P0038,Lampe EcoPlus 38,Maison,EcoPlus,803.12
P0039,Crème AtlasTech 39,Beauté,AtlasTech,1083.22
P0040,Parfum AtlasTech 40,Beauté,AtlasTech,60.71
P0041,Sac de sport Zenith 41,Sport,Zenith,827.8
P0042,Micro-ondes Alpha 42,Électroménager,Alpha,3091.52
P0043,Crème Zenith 43,Beauté,Zenith,783.99
P0044,Disque SSD Alpha 44,Informatique,Alpha,1764.23
P0045,Crème Alpha 45,Beauté,Alpha,1087.88
P0046,Aspirateur SmartLine 46,Électroménager,SmartLine,1420.04
P0047,Micro-ondes MaghrebStore 47,Électroménager,MaghrebStore,7669.43
P0048,Shampoing DigitalPro 48,Beauté,DigitalPro,216.09
P0049,Haltères MaghrebStore 49,Sport,MaghrebStore,278.5
P0050,Parfum Zenith 50,Beauté,Zenith,209.07
P0051,Power Bank Alpha 51,Téléphonie,Alpha,547.16
P0052,Aspirateur Nova 52,Électroménager,Nova,2442.02
P0053,Chaussures SmartLine 53,Mode,SmartLine,1361.77
P0054,Veste EcoPlus 54,Mode,EcoPlus,1665.18
P0055,Chaise CasaPro 55,Maison,CasaPro,1587.22
P0056,Smartphone Orion 56,Téléphonie,Orion,11144.59
P0057,Smartphone CasaPro 57,Téléphonie,CasaPro,3568.94
P0058,Mixeur MaghrebStore 58,Électroménager,MaghrebStore,6057.38
P0059,Haltères Alpha 59,Sport,Alpha,296.65
P0060,Écran MaghrebStore 60,Informatique,MaghrebStore,5966.58
P0061,Chargeur Alpha 61,Téléphonie,Alpha,4659.24
P0062,Vélo d'appartement CasaPro 62,Sport,CasaPro,490.53
P0063,Souris Zenith 63,Informatique,Zenith,7666.76
P0064,PC Portable Nova 64,Informatique,Nova,11926.44
P0065,Livre IA Zenith 65,Livres,Zenith,373.35
P0066,Micro-ondes EcoPlus 66,Électroménager,EcoPlus,11137.35
P0067,Sac AtlasTech 67,Mode,AtlasTech,1363.09
P0068,Réfrigérateur Nova 68,Électroménager,Nova,1598.76
P0069,T-shirt Nova 69,Mode,Nova,389.48
P0070,Chargeur EcoPlus 70,Téléphonie,EcoPlus,3465.58
P0071,T-shirt Nova 71,Mode,Nova,1784.8
P0072,Rideaux Orion 72,Maison,Orion,1118.35
P0073,Crème EcoPlus 73,Beauté,EcoPlus,232.36
P0074,Rideaux MaghrebStore 74,Maison,MaghrebStore,1479.94
